customer_id,plan,region,contract_type,tenure_months,monthly_spend,support_tickets,logins_last_30d,churned
1,Pro,North,Monthly,27,99.55,1,17,1
2,Basic,East,Monthly,37,98.65,1,18,0
3,Pro,East,Monthly,10,78.88,2,14,1
4,Pro,East,Monthly,37,85.93,0,16,1
5,Basic,South,Monthly,55,44.44,1,16,0
6,Enterprise,West,Monthly,8,14.41,0,8,0
7,Pro,South,Monthly,20,84.5,2,16,0
8,Pro,East,Monthly,41,89.72,1,17,0
9,Basic,South,Annual,37,116.28,1,11,0
10,Basic,North,Annual,40,127.14,1,11,0
11,Basic,East,Monthly,34,127.1,1,13,1
12,Enterprise,North,Annual,41,,0,14,0
13,Pro,West,Annual,36,69.43,2,13,0
14,Pro,East,Monthly,5,94.41,0,11,1
15,Basic,South,Annual,45,155.96,3,11,0
16,Basic,South,Annual,27,124.4,1,16,0
17,Pro,East,Monthly,4,113.58,0,15,1
18,Basic,South,Monthly,25,68.37,1,12,0
19,Pro,South,Monthly,26,53.5,1,16,0
20,Pro,South,Monthly,6,103.67,1,9,0
21,Pro,South,Annual,59,46.98,3,11,0
22,Basic,West,Monthly,14,72.85,1,9,0
23,Enterprise,North,Monthly,20,76.56,1,6,0
24,Pro,West,Monthly,27,127.79,1,9,1
25,Pro,South,Annual,50,69.36,0,14,1
26,Basic,East,Monthly,44,6.82,0,16,0
27,Basic,North,Annual,46,95.13,2,7,0
28,Basic,South,Monthly,14,59.03,1,14,1
29,Basic,West,Monthly,50,81.28,1,12,0
30,Pro,South,Monthly,49,,2,11,0
31,Pro,North,Monthly,28,71.79,1,9,1
32,Enterprise,East,Monthly,33,,0,16,0
33,Basic,North,Monthly,3,34.01,2,13,1
34,Basic,South,Monthly,45,64.49,2,8,0
35,Basic,South,Monthly,57,100.52,0,14,1
36,Basic,East,Annual,28,61.58,1,17,0
37,Basic,,Annual,32,31.74,3,15,0
38,Basic,East,Monthly,30,100.06,7,7,0
39,Basic,West,Annual,5,113.69,3,15,0
40,Pro,North,Monthly,37,78.65,3,9,0
41,Basic,South,Monthly,43,21.17,5,13,0
42,Pro,North,Monthly,55,101.18,0,6,0
43,Pro,North,Monthly,55,,2,18,0
44,Basic,North,Annual,30,89.26,2,14,0
45,Pro,East,Monthly,57,53.38,0,12,0
46,Pro,West,Monthly,32,45.2,2,15,0
47,Basic,West,Monthly,38,66.74,1,10,0
48,Basic,East,Monthly,36,74.5,2,9,1
49,Pro,West,Monthly,59,60.67,0,15,0
50,Basic,North,Monthly,44,97.66,2,11,1
51,Basic,West,Monthly,8,66.62,1,12,0
52,Basic,West,Monthly,5,109.41,1,14,0
53,Pro,North,Monthly,25,88.44,1,11,0
