order_date,category,channel,units_sold,unit_price,discount_pct,marketing_spend,revenue
2023-05-02,Apparel,Online,39,24.32,15,413.75,1009.27
2023-06-26,Grocery,Online,481,27.72,0,314.45,13342.22
2023-01-28,Home,Wholesale,39,25.69,0,763.91,1477.46
2024-07-22,Apparel,Wholesale,406,11.09,0,485.33,4422.56
2024-07-16,Home,Wholesale,439,3.49,5,487.29,2068.95
2023-03-17,Apparel,Online,154,21.26,0,243.67,4246.91
2023-04-29,Toys,Retail,157,30.6,0,408.48,5456.44
2024-06-14,Apparel,Retail,294,21.38,10,585.74,6591.08
2023-09-06,Home,Online,363,37.37,5,240.16,11516.5
2023-02-07,Home,Wholesale,68,24.53,0,392.18,1780.04
2023-03-23,Grocery,Retail,126,38.57,0,415.91,5887.04
2023-09-06,Apparel,Online,379,36.52,0,513.29,12465.92
2023-12-01,Electronics,Wholesale,405,35.51,0,795.91,13994.66
2024-01-15,Grocery,Online,85,12.96,5,440.01,925.42
2023-04-02,Home,Online,445,25.17,0,361.9,13209.5
2023-08-11,Grocery,Online,434,37.23,0,1049.27,15636.87
2023-06-06,Home,Online,435,27.72,15,413.36,11710.01
2023-11-17,Home,Wholesale,127,30.54,15,461.87,3124.53
2023-07-12,Toys,Retail,337,11.12,0,428.43,3826.76
2023-05-03,Electronics,Online,88,44.19,5,444.65,4461.18
2024-05-04,Electronics,Retail,106,17.09,0,515.55,2538.71
2023-12-08,Toys,Wholesale,44,5.06,10,684.16,765.11
2023-10-12,Toys,Wholesale,251,21.49,15,580.8,4555.51
2023-03-22,Home,Wholesale,358,3.0,5,715.42,1405.72
2023-02-12,Home,Wholesale,107,14.15,5,708.81,2269.88
2024-04-22,Home,Retail,101,50.59,0,541.71,6034.01
2024-08-04,Toys,Online,145,21.2,0,575.26,3234.16
2023-12-17,Home,Wholesale,106,10.72,5,721.75,2130.01
2023-01-24,Grocery,Online,418,25.25,0,277.76,10992.45
2023-10-17,Apparel,Online,93,16.02,10,999.64,1863.24
2023-06-18,Apparel,Online,146,33.65,5,397.48,4765.44
2023-02-02,Grocery,Online,159,16.1,0,429.81,3156.13
2023-03-27,Apparel,Retail,109,27.71,5,257.62,3818.55
2023-10-27,Electronics,Wholesale,471,13.53,10,263.57,5221.84
2023-09-14,Electronics,Online,112,50.99,5,694.81,5166.67
2023-12-05,Toys,Retail,248,30.04,5,954.04,7775.92
2024-02-21,Apparel,Online,287,23.54,10,386.55,7200.1
2023-06-09,Electronics,Retail,137,22.07,0,569.46,3897.12
2023-06-21,Toys,Online,240,19.46,5,544.03,5207.65
2024-02-11,Toys,Online,93,17.39,5,700.05,1385.97
2023-04-29,Home,Retail,246,17.12,0,943.74,5504.93
2023-02-16,Grocery,Retail,19,41.78,20,804.19,1023.88
2024-05-27,Grocery,Online,225,19.47,5,452.27,4624.96
2023-05-06,Electronics,Online,188,3.71,0,605.75,1711.0
2023-03-14,Apparel,Online,181,13.34,0,625.61,3146.94
2024-03-18,Home,Retail,63,34.28,20,495.98,2944.66
2023-11-16,Home,Online,499,22.48,15,280.81,8333.0
2023-03-30,Apparel,Online,23,23.66,0,340.24,572.83
2024-05-25,Electronics,Wholesale,81,36.7,5,729.63,3886.05
2023-05-28,Toys,Retail,60,17.23,0,750.26,1618.6
2024-02-10,Grocery,Online,489,31.32,10,458.49,15583.26
2024-01-26,Grocery,Retail,166,18.32,5,552.21,3484.57
2024-05-12,Home,Online,221,30.76,0,739.45,8115.29
2024-03-13,Home,Online,377,21.09,5,159.15,8666.69
2024-02-26,Home,Retail,34,22.58,15,410.73,1116.32
2023-01-31,Home,Online,42,33.2,0,903.57,2416.08
2024-07-16,Grocery,Online,99,32.48,0,559.86,4021.65
2023-03-17,Toys,Wholesale,342,23.35,15,274.16,7929.48
2023-06-02,Grocery,Retail,489,20.28,0,523.46,10943.29
2023-09-25,Grocery,Wholesale,314,40.99,5,704.29,10809.47
2023-06-23,Electronics,Wholesale,437,30.89,5,0.0,13549.28
2023-12-22,Home,Online,442,21.09,0,535.26,9735.53
2023-02-01,Toys,Retail,145,18.47,0,425.52,2658.99
2023-09-30,Apparel,Online,100,35.25,0,171.6,2550.66
2023-07-29,Home,Retail,88,26.15,0,516.39,2308.69
2024-01-24,Apparel,Online,399,23.36,5,472.7,9834.72
2023-11-08,Electronics,Online,338,26.15,10,495.18,7394.48
2024-03-29,Grocery,Online,433,28.38,0,430.35,14629.08
2023-04-09,Apparel,Retail,258,24.43,10,295.73,6700.06
2024-07-23,Home,Online,488,37.04,5,209.04,16791.08
2023-08-24,Home,Retail,448,37.59,0,361.86,15354.5
2023-07-29,Toys,Wholesale,406,30.32,5,671.85,11459.31
2023-11-25,Toys,Retail,403,38.75,0,546.61,15029.27
2023-04-08,Home,Online,70,25.08,5,486.17,1810.6
2024-05-03,Electronics,Online,374,31.9,0,292.05,13652.76
2023-06-08,Home,Wholesale,474,35.04,10,425.22,16215.87
2024-07-10,Toys,Retail,153,35.19,15,647.43,5164.79
2023-03-30,Home,Online,409,34.16,0,600.96,16031.72
2024-06-02,Home,Wholesale,181,31.31,15,404.56,5404.16
2023-08-25,Grocery,Online,114,44.57,0,0.0,4587.72
2023-12-31,Home,Online,367,19.6,0,365.03,7623.73
2024-06-07,Home,Online,90,23.45,0,403.46,2914.25
2023-03-19,Home,Online,245,22.85,10,318.58,6257.77
2023-07-28,Toys,Online,468,21.32,10,417.36,8705.22
2024-07-23,Home,Retail,86,5.11,20,663.31,1064.91
2023-03-31,Apparel,Online,86,38.75,10,492.54,3782.65
2023-03-03,Home,Retail,472,14.74,5,697.94,8079.82
2023-11-10,Grocery,Retail,390,26.7,15,198.33,8223.5
2023-01-15,Toys,Wholesale,236,10.78,20,438.99,2450.77
2024-08-18,Toys,Online,208,31.21,10,112.2,5392.88
2024-06-26,Grocery,Retail,482,17.15,5,414.68,8566.74
2023-04-23,Grocery,Online,364,13.64,10,290.87,5538.97
2023-04-14,Home,Retail,455,26.94,0,756.25,15027.78
2024-04-11,Apparel,Online,55,17.99,15,581.94,2129.15
2023-11-09,Home,Retail,269,19.26,20,702.97,4431.46
2024-05-09,Grocery,Online,365,26.72,10,414.13,10006.09
2024-08-03,Home,Retail,27,33.0,0,296.06,1208.81
2023-08-29,Apparel,Online,260,16.82,0,289.69,4192.13
2023-06-02,Electronics,Online,37,15.09,20,553.09,1105.87
2024-01-07,Electronics,Retail,451,25.23,15,862.03,10984.33
2024-01-17,Home,Online,343,30.39,10,582.48,9747.83
2023-09-17,Grocery,Retail,102,39.63,15,425.05,3729.47
2023-06-29,Grocery,Retail,265,14.29,5,462.25,4546.79
2023-06-07,Toys,Retail,63,21.82,15,493.74,1805.92
2023-11-09,Grocery,Retail,403,36.76,0,905.33,13977.14
2023-09-13,Electronics,Retail,106,44.73,0,746.72,4588.65
2023-10-02,Toys,Wholesale,307,15.07,5,551.99,4179.49
2023-02-27,Toys,Online,48,17.61,0,521.95,1578.76
2024-06-12,Toys,Retail,87,28.81,5,559.87,3131.6
2024-02-29,Home,Retail,490,19.22,10,598.86,10262.7
2024-07-05,Apparel,Online,199,17.41,0,417.36,3947.4
2024-05-12,Toys,Online,70,27.44,10,331.18,2458.62
2024-01-07,Electronics,Online,352,40.49,0,706.44,15310.44
2023-07-04,Grocery,Retail,108,11.91,10,504.4,1246.77
2024-01-28,Toys,Online,298,39.98,0,689.75,13543.41
2023-12-06,Toys,Retail,406,19.25,10,829.23,7810.89
2024-07-08,Home,Retail,344,28.46,5,604.12,9599.52
2023-05-20,Toys,Retail,130,40.91,0,571.71,6759.44
2023-01-16,Toys,Online,126,28.25,0,1140.05,4341.46
2023-03-18,Toys,Retail,118,22.03,0,541.4,3401.9
2023-04-16,Apparel,Retail,319,32.18,0,281.89,11789.51
2024-02-03,Grocery,Online,339,23.27,0,443.75,9310.59
2023-03-29,Toys,Online,265,30.21,0,810.34,10344.96
2023-03-22,Apparel,Online,205,22.95,10,241.17,5022.63
2023-08-27,Apparel,Wholesale,40,33.61,0,349.51,1809.0
2024-04-14,Apparel,Online,419,11.06,0,721.29,6382.3
2023-09-12,Apparel,Online,333,14.86,0,445.68,4591.83
2023-06-13,Grocery,Online,322,10.91,5,477.95,3916.32
2023-06-20,Toys,Online,60,24.44,5,714.67,2226.41
2024-05-06,Electronics,Online,151,9.7,10,356.64,1512.41
2023-09-17,Apparel,Retail,158,18.08,5,206.28,2516.43
2023-08-10,Toys,Online,302,13.92,5,222.22,4438.82
2024-04-09,Home,Retail,395,39.8,0,616.36,18395.95
2023-08-10,Apparel,Online,434,15.09,0,551.83,6631.0
2023-08-03,Grocery,Online,265,12.13,10,361.49,3109.96
2024-03-26,Toys,Retail,188,27.48,0,268.24,6103.4
2023-07-16,Apparel,Retail,209,41.87,10,445.89,8009.79
2023-11-03,Home,Wholesale,370,23.84,5,723.3,8425.1
2024-02-03,Grocery,Online,165,24.61,5,332.84,4609.44
2023-05-01,Toys,Retail,213,37.91,5,367.46,9181.85
2023-03-19,Home,Retail,395,33.78,15,261.9,13688.24
2024-05-25,Toys,Online,276,29.25,5,426.52,8601.53
2023-06-28,Grocery,Retail,239,19.18,5,567.62,4535.55
2023-07-24,Home,Online,369,29.56,15,923.03,10018.25
2023-12-20,Home,Online,151,11.39,5,543.56,2062.57
2023-03-03,Grocery,Retail,39,18.76,5,489.26,1445.83
2023-01-28,Electronics,Retail,396,39.31,0,672.59,16957.85
2023-09-07,Apparel,Wholesale,232,38.02,0,639.24,8236.09
2024-08-03,Apparel,Wholesale,169,29.37,10,384.47,4081.75
2023-12-11,Toys,Online,56,5.71,0,960.41,1090.84
2023-12-14,Toys,Retail,463,12.92,0,495.12,5921.3
2024-01-01,Toys,Wholesale,365,18.21,0,547.28,6838.33
2024-05-31,Electronics,Online,144,23.28,20,610.27,3281.4
2024-05-16,Apparel,Online,307,12.5,5,569.17,3799.41
2023-01-15,Apparel,Wholesale,237,22.54,5,805.08,5565.23
2023-11-21,Electronics,Online,170,42.67,15,382.02,6115.73
2023-11-24,Apparel,Wholesale,162,29.01,0,656.68,4907.83
2023-05-15,Home,Online,47,27.19,10,532.91,1380.26
2024-08-08,Toys,Wholesale,487,14.82,10,696.54,6619.71
2023-06-06,Electronics,Retail,463,8.61,5,457.0,4131.62
2024-05-15,Toys,Retail,436,12.72,10,429.92,6090.01
2023-03-02,Toys,Retail,164,8.21,20,646.41,1699.69
2023-12-28,Electronics,Online,498,25.75,0,571.6,13075.76
2024-03-17,Apparel,Retail,144,28.84,0,335.94,4998.55
2023-10-30,Home,Wholesale,413,15.35,10,769.12,6337.66
2023-03-05,Toys,Wholesale,59,26.48,5,646.5,1972.27
2023-03-16,Grocery,Wholesale,162,39.69,5,485.16,7444.79
2023-12-30,Toys,Retail,292,44.58,0,406.35,13534.87
2024-06-01,Apparel,Retail,484,32.7,10,572.83,15456.0
2023-12-25,Toys,Retail,140,23.25,10,632.1,2909.75
2023-03-02,Toys,Retail,221,32.38,20,181.18,6433.99
2024-04-16,Home,Retail,422,38.52,5,575.14,18363.18
2023-10-03,Electronics,Online,241,4.93,20,630.51,1209.83
2023-02-14,Apparel,Online,344,39.82,5,29.51,14332.04
2023-08-09,Electronics,Retail,214,19.55,5,539.24,4313.54
2023-05-02,Toys,Online,11,19.65,10,638.92,488.98
2024-08-14,Apparel,Online,148,21.45,5,616.18,3169.43
2024-06-29,Grocery,Online,287,28.2,5,660.49,7795.21
2023-03-05,Apparel,Retail,19,13.89,0,434.49,743.01
2023-12-10,Toys,Wholesale,123,22.15,0,292.02,2880.83
2023-01-05,Grocery,Retail,477,30.25,10,140.05,13504.37
