feature_1,feature_2,feature_3,species
7.93,2.51,1.53,B
6.01,3.14,1.47,A
5.22,3.32,2.02,B
5.03,3.59,2.33,A
4.94,3.26,1.33,C
3.07,3.16,1.83,C
4.23,3.47,1.63,B
4.89,2.85,1.63,A
4.28,3.21,1.6,A
4.41,2.69,1.37,C
7.56,3.56,0.07,A
4.75,2.2,2.11,A
5.28,3.41,1.22,B
5.24,3.01,1.4,A
5.59,3.48,1.41,C
4.52,2.61,1.19,A
6.25,3.04,1.6,C
5.44,3.03,1.48,C
3.71,3.22,1.21,A
4.89,2.48,1.56,B
4.83,3.32,1.49,C
4.78,2.08,1.87,C
5.51,2.67,0.96,C
5.63,2.22,1.18,C
5.52,3.41,1.79,A
5.34,3.2,1.24,B
5.09,3.23,1.14,C
2.85,3.74,1.26,A
5.78,2.84,1.46,A
5.49,3.3,1.46,A
